seller_id,seller_state,seller_city,seller_region,seller_zip_prefix,seller_segment,seller_quality_score,seller_fulfillment_capacity,seller_active_flag,created_at,deactivated_at
seller_000023,OH,Cleveland,Midwest,72975,long_tail,0.902,0.3474,True,2024-01-01T00:00:00,
seller_000024,OH,Columbus,Midwest,30405,premium,0.7342,0.3689,True,2024-01-01T00:00:00,
seller_000025,MN,Duluth,Midwest,10605,growth_seller,0.5612,0.3752,True,2024-01-01T00:00:00,
seller_000026,VT,Burlington,Northeast,09850,long_tail,0.6815,0.4626,True,2024-01-01T00:00:00,
seller_000027,IL,Springfield,Midwest,79316,long_tail,0.7321,0.4377,True,2024-01-01T00:00:00,
seller_000028,PA,Philadelphia,Northeast,80009,premium,0.6107,0.427,True,2024-01-01T00:00:00,
seller_000029,IL,Chicago,Midwest,05186,at_risk,0.8964,0.3603,True,2024-01-01T00:00:00,
seller_000030,TX,Houston,South,90883,premium,0.7693,0.4989,True,2024-01-01T00:00:00,
seller_000031,RI,Warwick,Northeast,12680,long_tail,0.6796,0.3851,True,2024-01-01T00:00:00,
seller_000032,WY,Cheyenne,West,02833,premium,0.8091,0.3829,True,2024-01-01T00:00:00,
seller_000033,WI,Milwaukee,Midwest,19578,long_tail,0.7786,0.3631,True,2024-01-01T00:00:00,
seller_000034,CA,Sacramento,West,43741,growth_seller,0.7701,0.4074,True,2024-01-01T00:00:00,
seller_000035,NJ,Newark,Northeast,84624,high_volume,0.7493,0.3366,True,2024-01-01T00:00:00,
seller_000036,SD,Sioux Falls,Midwest,85750,growth_seller,0.8952,0.3839,True,2024-01-01T00:00:00,
seller_000037,GA,Savannah,South,21982,long_tail,0.8392,0.2875,True,2024-01-01T00:00:00,
seller_000038,CT,Hartford,Northeast,24076,long_tail,0.8084,0.3822,True,2024-01-01T00:00:00,
seller_000039,PA,Pittsburgh,Northeast,91531,growth_seller,0.8286,0.2738,True,2024-01-01T00:00:00,
seller_000040,NY,New York,Northeast,08690,long_tail,0.7094,0.2853,True,2024-01-01T00:00:00,
seller_000041,ID,Boise,West,83013,long_tail,0.8725,0.2497,True,2024-01-01T00:00:00,
seller_000042,NY,Albany,Northeast,02023,premium,0.765,0.384,True,2024-01-01T00:00:00,
seller_000043,IL,Springfield,Midwest,30322,premium,0.749,0.4607,True,2024-01-01T00:00:00,
seller_000044,NJ,Newark,Northeast,12097,long_tail,0.7497,0.332,True,2024-01-01T00:00:00,
seller_000045,PA,Pittsburgh,Northeast,34530,premium,0.73,0.3376,True,2024-01-01T00:00:00,
seller_000046,MA,Worcester,Northeast,40829,growth_seller,0.7045,0.4055,True,2024-01-01T00:00:00,
seller_000047,NY,Albany,Northeast,94957,at_risk,0.8626,0.5521,True,2024-01-01T00:00:00,
seller_000048,FL,Jacksonville,South,81937,long_tail,0.7935,0.3,True,2024-01-01T00:00:00,
seller_000049,CA,Los Angeles,West,33615,growth_seller,0.8407,0.3192,True,2024-01-01T00:00:00,
seller_000050,NY,Buffalo,Northeast,87229,long_tail,0.7022,0.2287,True,2024-01-01T00:00:00,
seller_000051,IL,Springfield,Midwest,78030,premium,0.6981,0.4331,True,2024-01-01T00:00:00,
seller_000052,LA,Baton Rouge,South,71837,growth_seller,0.6913,0.3765,True,2024-01-01T00:00:00,
seller_000053,NY,Buffalo,Northeast,12101,long_tail,0.7731,0.2913,True,2024-01-01T00:00:00,
seller_000054,TX,Houston,South,90788,long_tail,0.8099,0.2863,True,2024-01-01T00:00:00,
seller_000055,NY,Albany,Northeast,37888,long_tail,0.8682,0.3206,True,2024-01-01T00:00:00,
seller_000056,GA,Savannah,South,45541,long_tail,0.681,0.3129,True,2024-01-01T00:00:00,
seller_000057,CA,Los Angeles,West,69132,growth_seller,0.8557,0.3485,True,2024-01-01T00:00:00,
seller_000058,WY,Casper,West,63313,premium,0.7951,0.2902,True,2024-01-01T00:00:00,
seller_000059,RI,Warwick,Northeast,82991,long_tail,0.9761,0.3257,True,2024-01-01T00:00:00,
seller_000060,TX,Dallas,South,20640,high_volume,0.931,0.4499,True,2024-01-01T00:00:00,
seller_000061,FL,Jacksonville,South,59888,at_risk,0.6347,0.3139,True,2024-01-01T00:00:00,
seller_000062,WA,Spokane,West,92276,long_tail,0.884,0.5367,True,2024-01-01T00:00:00,
seller_000063,NY,Buffalo,Northeast,47791,at_risk,0.6772,0.2,True,2024-01-01T00:00:00,
seller_000064,IL,Chicago,Midwest,79238,premium,0.66,0.3352,True,2024-01-01T00:00:00,
seller_000065,TX,Austin,South,39050,long_tail,0.7688,0.3839,True,2024-01-01T00:00:00,
seller_000066,CA,Sacramento,West,92284,high_volume,0.8705,0.3669,True,2024-01-01T00:00:00,
seller_000067,NV,Reno,West,70146,long_tail,0.624,0.3712,True,2024-01-01T00:00:00,
seller_000068,WA,Spokane,West,25741,long_tail,0.866,0.3931,True,2024-01-01T00:00:00,
seller_000069,CA,Los Angeles,West,55649,long_tail,0.8943,0.4626,True,2024-01-01T00:00:00,
seller_000070,NY,New York,Northeast,42681,long_tail,0.9122,0.2677,True,2024-01-01T00:00:00,
seller_000071,IL,Chicago,Midwest,01936,long_tail,0.8681,0.4522,True,2024-01-01T00:00:00,
seller_000072,CA,Los Angeles,West,70628,long_tail,0.6707,0.4464,True,2024-01-01T00:00:00,
seller_000073,IL,Springfield,Midwest,02138,long_tail,0.7971,0.3204,True,2024-01-01T00:00:00,
seller_000074,IL,Springfield,Midwest,23941,high_volume,0.7031,0.3865,True,2024-01-01T00:00:00,
seller_000075,VT,Montpelier,Northeast,13870,premium,0.7672,0.2489,True,2024-01-01T00:00:00,
seller_000076,GA,Savannah,South,59832,growth_seller,0.7639,0.2952,True,2024-01-01T00:00:00,
seller_000077,PA,Pittsburgh,Northeast,18283,long_tail,0.7252,0.4613,True,2024-01-01T00:00:00,
seller_000078,GA,Savannah,South,81817,long_tail,0.6793,0.2941,True,2024-01-01T00:00:00,
seller_000079,NJ,Newark,Northeast,68425,long_tail,0.9133,0.276,True,2024-01-01T00:00:00,
seller_000080,OH,Columbus,Midwest,46819,long_tail,0.8062,0.3125,True,2024-01-01T00:00:00,
seller_000081,SD,Rapid City,Midwest,10713,long_tail,0.8803,0.3349,True,2024-01-01T00:00:00,
seller_000082,CA,Los Angeles,West,29270,premium,0.9364,0.5234,True,2024-01-01T00:00:00,
seller_000083,NY,Albany,Northeast,06705,premium,0.8924,0.3585,True,2024-01-01T00:00:00,
seller_000084,TX,Dallas,South,45073,long_tail,0.6945,0.3684,True,2024-01-01T00:00:00,
seller_000085,AK,Fairbanks,West,40022,at_risk,0.8031,0.232,True,2024-01-01T00:00:00,
seller_000086,TX,Houston,South,35939,long_tail,0.4943,0.3407,True,2024-01-01T00:00:00,
seller_000087,NY,Buffalo,Northeast,09612,long_tail,0.7435,0.2,True,2024-01-01T00:00:00,
seller_000088,NJ,Jersey City,Northeast,94490,premium,0.6507,0.2654,True,2024-01-01T00:00:00,
seller_000089,AL,Montgomery,South,67431,long_tail,0.9241,0.4291,True,2024-01-01T00:00:00,
seller_000090,NJ,Newark,Northeast,09703,growth_seller,0.9768,0.3855,True,2024-01-01T00:00:00,
seller_000091,NJ,Newark,Northeast,89172,premium,0.7341,0.4138,True,2024-01-01T00:00:00,
seller_000092,FL,Tampa,South,64621,premium,0.911,0.3531,True,2024-01-01T00:00:00,
seller_000093,ND,Bismarck,Midwest,54232,premium,0.64,0.2934,True,2024-01-01T00:00:00,
seller_000094,CA,San Diego,West,58572,at_risk,0.7932,0.5271,True,2024-01-01T00:00:00,
seller_000095,WA,Spokane,West,89352,long_tail,0.7344,0.5538,True,2024-01-01T00:00:00,
seller_000096,MT,Missoula,West,62463,long_tail,0.7163,0.3484,True,2024-01-01T00:00:00,
seller_000097,TN,Nashville,South,95731,at_risk,0.7732,0.3906,True,2024-01-01T00:00:00,
seller_000098,KS,Wichita,Midwest,53901,at_risk,0.8242,0.3553,True,2024-01-01T00:00:00,
seller_000099,GA,Savannah,South,75360,premium,0.6755,0.3878,True,2024-01-01T00:00:00,
seller_000100,MA,Boston,Northeast,45911,growth_seller,0.72,0.3799,True,2024-01-01T00:00:00,
seller_000101,TX,Dallas,South,53237,at_risk,0.7435,0.2699,True,2024-01-01T00:00:00,
seller_000102,PA,Philadelphia,Northeast,14301,long_tail,0.7985,0.4151,True,2024-01-01T00:00:00,
seller_000103,PA,Philadelphia,Northeast,82797,premium,0.8051,0.3897,True,2024-01-01T00:00:00,
seller_000104,MA,Boston,Northeast,63543,growth_seller,0.9523,0.2637,True,2024-01-01T00:00:00,
seller_000105,NE,Lincoln,Midwest,02623,long_tail,0.753,0.4912,True,2024-01-01T00:00:00,
seller_000106,IL,Springfield,Midwest,53725,long_tail,0.6255,0.4892,True,2024-01-01T00:00:00,
seller_000107,VA,Richmond,South,63755,premium,0.8249,0.389,True,2024-01-01T00:00:00,
seller_000108,TN,Nashville,South,97439,long_tail,0.8753,0.2,True,2024-01-01T00:00:00,
seller_000109,CA,San Diego,West,37064,at_risk,0.8285,0.2188,True,2024-01-01T00:00:00,
seller_000110,PA,Pittsburgh,Northeast,72404,growth_seller,0.923,0.2292,True,2024-01-01T00:00:00,
seller_000111,NJ,Jersey City,Northeast,87487,growth_seller,0.6856,0.5068,True,2024-01-01T00:00:00,
seller_000112,TX,Dallas,South,57357,premium,0.45,0.2349,True,2024-01-01T00:00:00,
seller_000113,TX,Dallas,South,88439,at_risk,0.8935,0.3808,True,2024-01-01T00:00:00,
seller_000114,IL,Chicago,Midwest,02960,high_volume,0.8063,0.5294,True,2024-01-01T00:00:00,
seller_000115,IL,Springfield,Midwest,12070,long_tail,0.8652,0.2,True,2024-01-01T00:00:00,
seller_000116,AZ,Phoenix,West,86731,long_tail,0.7641,0.3587,True,2024-01-01T00:00:00,
seller_000117,FL,Tampa,South,91903,growth_seller,0.6554,0.2,True,2024-01-01T00:00:00,
seller_000118,IL,Chicago,Midwest,09453,high_volume,0.9204,0.4038,True,2024-01-01T00:00:00,
seller_000119,CA,Sacramento,West,51719,long_tail,0.717,0.3683,True,2024-01-01T00:00:00,
seller_000120,PA,Pittsburgh,Northeast,01696,long_tail,0.9585,0.5568,True,2024-01-01T00:00:00,
seller_000121,NC,Raleigh,South,73018,long_tail,0.5609,0.2,True,2024-01-01T00:00:00,
seller_000122,MO,St. Louis,Midwest,23544,premium,0.821,0.2823,True,2024-01-01T00:00:00,
seller_000123,PA,Philadelphia,Northeast,59514,premium,0.8758,0.4081,True,2024-01-01T00:00:00,
seller_000124,OH,Cleveland,Midwest,55549,growth_seller,0.911,0.3703,True,2024-01-01T00:00:00,
seller_000125,MS,Jackson,South,40451,premium,0.8152,0.3441,True,2024-01-01T00:00:00,
seller_000126,VA,Virginia Beach,South,07153,long_tail,0.922,0.3734,True,2024-01-01T00:00:00,
seller_000127,NY,New York,Northeast,64836,premium,0.85,0.3108,True,2024-01-01T00:00:00,
seller_000128,CA,Sacramento,West,95192,premium,0.7336,0.3715,True,2024-01-01T00:00:00,
seller_000129,MI,Grand Rapids,Midwest,53618,growth_seller,0.811,0.3213,True,2024-01-01T00:00:00,
seller_000130,AR,Little Rock,South,09775,growth_seller,0.9591,0.2351,True,2024-01-01T00:00:00,
seller_000131,FL,Orlando,South,76183,long_tail,0.5089,0.345,True,2024-01-01T00:00:00,
seller_000132,CA,Sacramento,West,43858,long_tail,0.6425,0.3562,True,2024-01-01T00:00:00,
seller_000133,NJ,Jersey City,Northeast,01789,long_tail,0.6628,0.3381,True,2024-01-01T00:00:00,
seller_000134,PA,Pittsburgh,Northeast,36509,high_volume,0.9284,0.3561,True,2024-01-01T00:00:00,
seller_000135,KY,Louisville,South,97287,growth_seller,0.9124,0.4186,True,2024-01-01T00:00:00,
seller_000136,IL,Chicago,Midwest,72006,high_volume,0.8247,0.4184,True,2024-01-01T00:00:00,
seller_000137,IL,Springfield,Midwest,92091,premium,0.818,0.3483,True,2024-01-01T00:00:00,
seller_000138,TX,Houston,South,82946,premium,0.6876,0.3242,True,2024-01-01T00:00:00,
seller_000139,NJ,Newark,Northeast,73271,high_volume,0.7987,0.4629,True,2024-01-01T00:00:00,
seller_000140,WI,Madison,Midwest,22687,premium,0.6844,0.3588,True,2024-01-01T00:00:00,
seller_000141,NJ,Jersey City,Northeast,62041,long_tail,0.8656,0.373,True,2024-01-01T00:00:00,
seller_000142,MT,Missoula,West,32012,high_volume,0.8633,0.5025,True,2024-01-01T00:00:00,
seller_000143,FL,Orlando,South,05330,at_risk,0.8496,0.2,True,2024-01-01T00:00:00,
seller_000144,UT,Salt Lake City,West,90828,long_tail,0.9068,0.2272,True,2024-01-01T00:00:00,
seller_000145,OR,Portland,West,40878,long_tail,0.8533,0.2989,True,2024-01-01T00:00:00,
seller_000146,CA,Los Angeles,West,10658,premium,0.7295,0.3066,True,2024-01-01T00:00:00,
seller_000147,PA,Pittsburgh,Northeast,71866,long_tail,0.8244,0.4668,True,2024-01-01T00:00:00,
seller_000148,ID,Boise,West,86645,long_tail,0.7689,0.2853,True,2024-01-01T00:00:00,
seller_000149,CA,San Diego,West,64408,premium,0.8989,0.3834,True,2024-01-01T00:00:00,
seller_000150,IL,Chicago,Midwest,16825,premium,0.6825,0.3708,True,2024-01-01T00:00:00,
seller_000151,OH,Columbus,Midwest,55747,long_tail,0.7161,0.3002,True,2024-01-01T00:00:00,
seller_000152,CT,Hartford,Northeast,11441,long_tail,0.7508,0.2095,True,2024-01-01T00:00:00,
seller_000153,NY,Buffalo,Northeast,69072,long_tail,0.45,0.3982,True,2024-01-01T00:00:00,
seller_000154,NJ,Jersey City,Northeast,98098,long_tail,0.6804,0.4396,True,2024-01-01T00:00:00,
seller_000155,PA,Philadelphia,Northeast,27871,growth_seller,0.8829,0.2716,True,2024-01-01T00:00:00,
seller_000156,FL,Jacksonville,South,25397,growth_seller,0.8511,0.2832,True,2024-01-01T00:00:00,
seller_000157,MT,Billings,West,72202,long_tail,0.9466,0.2635,True,2024-01-01T00:00:00,
seller_000158,NJ,Newark,Northeast,24665,growth_seller,0.6528,0.3945,True,2024-01-01T00:00:00,
seller_000159,NJ,Newark,Northeast,19109,long_tail,0.9114,0.3754,True,2024-01-01T00:00:00,
seller_000160,ID,Boise,West,32766,growth_seller,0.7724,0.3683,True,2024-01-01T00:00:00,
seller_000161,MS,Jackson,South,23122,long_tail,0.7963,0.3786,True,2024-01-01T00:00:00,
seller_000162,NE,Lincoln,Midwest,29656,premium,0.6485,0.3299,True,2024-01-01T00:00:00,
seller_000163,NM,Albuquerque,West,72451,high_volume,0.7846,0.4225,True,2024-01-01T00:00:00,
seller_000164,IL,Springfield,Midwest,74118,growth_seller,0.6127,0.4725,True,2024-01-01T00:00:00,
seller_000165,WI,Madison,Midwest,99449,premium,0.5973,0.2777,True,2024-01-01T00:00:00,
seller_000166,IL,Chicago,Midwest,52584,premium,0.6791,0.2964,True,2024-01-01T00:00:00,
seller_000167,TX,Austin,South,91277,premium,0.7118,0.5363,True,2024-01-01T00:00:00,
seller_000168,DC,Washington,South,01395,high_volume,0.9092,0.4285,True,2024-01-01T00:00:00,
seller_000169,OK,Oklahoma City,South,23279,long_tail,0.7723,0.3861,True,2024-01-01T00:00:00,
seller_000170,MS,Jackson,South,79310,long_tail,0.9584,0.2,True,2024-01-01T00:00:00,
seller_000171,OH,Columbus,Midwest,37438,premium,0.8449,0.3304,True,2024-01-01T00:00:00,
seller_000172,CA,Los Angeles,West,73872,premium,0.8106,0.3783,True,2024-01-01T00:00:00,
seller_000173,OH,Cleveland,Midwest,64559,long_tail,0.6661,0.4233,True,2024-01-01T00:00:00,
seller_000174,CA,Los Angeles,West,31309,long_tail,0.7727,0.2547,True,2024-01-01T00:00:00,
seller_000175,AZ,Phoenix,West,22008,premium,0.6234,0.3372,True,2024-01-01T00:00:00,
seller_000176,MD,Frederick,South,79193,long_tail,0.7613,0.4226,True,2024-01-01T00:00:00,
seller_000177,SC,Columbia,South,82438,long_tail,0.5074,0.3721,True,2024-01-01T00:00:00,
seller_000178,GA,Atlanta,South,95613,premium,0.5997,0.3685,True,2024-01-01T00:00:00,
seller_000179,IL,Springfield,Midwest,14223,growth_seller,0.747,0.4028,True,2024-01-01T00:00:00,
seller_000180,ME,Portland,Northeast,39478,growth_seller,0.915,0.3201,True,2024-01-01T00:00:00,
seller_000181,TX,Houston,South,76296,growth_seller,0.7342,0.3754,True,2024-01-01T00:00:00,
seller_000182,FL,Jacksonville,South,22865,long_tail,0.5481,0.4737,True,2024-01-01T00:00:00,
seller_000183,OR,Portland,West,60495,premium,0.6749,0.4434,True,2024-01-01T00:00:00,
seller_000184,MT,Missoula,West,91636,premium,0.5629,0.4154,True,2024-01-01T00:00:00,
seller_000185,IL,Springfield,Midwest,33800,at_risk,0.8011,0.484,True,2024-01-01T00:00:00,
seller_000186,OR,Eugene,West,34797,high_volume,0.8616,0.3885,True,2024-01-01T00:00:00,
seller_000187,TN,Nashville,South,52381,long_tail,0.8907,0.4014,True,2024-01-01T00:00:00,
seller_000188,CA,Sacramento,West,31100,long_tail,0.5576,0.2945,True,2024-01-01T00:00:00,
seller_000189,IL,Chicago,Midwest,88038,at_risk,0.9646,0.4779,True,2024-01-01T00:00:00,
seller_000190,FL,Tampa,South,31530,long_tail,0.9104,0.4006,True,2024-01-01T00:00:00,
seller_000191,TX,Houston,South,60218,at_risk,0.8695,0.3647,True,2024-01-01T00:00:00,
seller_000192,IN,Fort Wayne,Midwest,74518,long_tail,0.6571,0.38,True,2024-01-01T00:00:00,
seller_000193,WA,Spokane,West,65891,premium,0.9128,0.2037,True,2024-01-01T00:00:00,
seller_000194,AL,Montgomery,South,98007,premium,0.45,0.2684,True,2024-01-01T00:00:00,
seller_000195,PA,Pittsburgh,Northeast,98350,premium,0.8919,0.464,True,2024-01-01T00:00:00,
seller_000196,GA,Atlanta,South,90806,long_tail,0.7878,0.3646,True,2024-01-01T00:00:00,
seller_000197,TX,Austin,South,94799,premium,0.9075,0.3138,True,2024-01-01T00:00:00,
seller_000198,GA,Atlanta,South,12754,long_tail,0.6896,0.2218,True,2024-01-01T00:00:00,
seller_000199,PA,Philadelphia,Northeast,85520,long_tail,0.8129,0.3748,True,2024-01-01T00:00:00,
seller_000200,MI,Grand Rapids,Midwest,78748,premium,0.8847,0.224,True,2024-01-01T00:00:00,
seller_000201,NJ,Newark,Northeast,89182,long_tail,0.9379,0.536,True,2024-01-01T00:00:00,
seller_000202,NY,Buffalo,Northeast,85302,high_volume,0.9068,0.4115,True,2024-01-01T00:00:00,
seller_000203,WA,Spokane,West,95314,growth_seller,0.7362,0.2425,True,2024-01-01T00:00:00,
seller_000204,NJ,Jersey City,Northeast,96085,long_tail,0.7648,0.2,True,2024-01-01T00:00:00,
seller_000205,CA,Sacramento,West,08410,growth_seller,0.865,0.3425,True,2024-01-01T00:00:00,
seller_000206,TX,Dallas,South,58846,long_tail,0.6014,0.3034,True,2024-01-01T00:00:00,
seller_000207,NY,New York,Northeast,46675,premium,0.9286,0.3323,True,2024-01-01T00:00:00,
seller_000208,TX,Dallas,South,56638,premium,0.8137,0.2311,True,2024-01-01T00:00:00,
seller_000209,TX,Dallas,South,05984,growth_seller,0.9861,0.4439,True,2024-01-01T00:00:00,
seller_000210,NY,New York,Northeast,60926,at_risk,0.4797,0.4683,True,2024-01-01T00:00:00,
seller_000211,FL,Tampa,South,82105,at_risk,0.9023,0.2828,True,2024-01-01T00:00:00,
seller_000212,NY,Buffalo,Northeast,17483,long_tail,0.7011,0.3054,True,2024-01-01T00:00:00,
seller_000213,GA,Atlanta,South,80886,long_tail,0.8891,0.3866,True,2024-01-01T00:00:00,
seller_000214,CA,Los Angeles,West,84101,long_tail,0.8176,0.301,True,2024-01-01T00:00:00,
seller_000215,IN,Fort Wayne,Midwest,29338,long_tail,0.5688,0.2545,True,2024-01-01T00:00:00,
seller_000216,CA,San Diego,West,21040,long_tail,0.7301,0.2,True,2024-01-01T00:00:00,
seller_000217,WA,Seattle,West,48741,long_tail,0.8405,0.4389,True,2024-01-01T00:00:00,
seller_000218,IL,Springfield,Midwest,28903,growth_seller,0.868,0.4347,True,2024-01-01T00:00:00,
seller_000219,TX,Austin,South,76276,premium,0.8607,0.3684,True,2024-01-01T00:00:00,
seller_000220,FL,Jacksonville,South,61853,long_tail,0.9364,0.3612,True,2024-01-01T00:00:00,
seller_000221,IN,Indianapolis,Midwest,41926,long_tail,0.8282,0.4846,True,2024-01-01T00:00:00,
seller_000222,NY,Albany,Northeast,35742,growth_seller,0.8078,0.2289,True,2024-01-01T00:00:00,
seller_000223,CA,San Diego,West,87318,premium,0.9102,0.2845,True,2024-01-01T00:00:00,
seller_000224,LA,Baton Rouge,South,04753,long_tail,0.5535,0.4104,True,2024-01-01T00:00:00,
seller_000225,UT,Salt Lake City,West,13761,long_tail,0.9197,0.3871,True,2024-01-01T00:00:00,
seller_000226,MO,St. Louis,Midwest,63810,long_tail,0.9126,0.4832,True,2024-01-01T00:00:00,
seller_000227,NY,Buffalo,Northeast,68477,long_tail,0.665,0.3789,True,2024-01-01T00:00:00,
seller_000228,IL,Chicago,Midwest,21249,long_tail,0.817,0.3566,True,2024-01-01T00:00:00,
seller_000229,AZ,Tucson,West,15398,long_tail,0.7126,0.3664,True,2024-01-01T00:00:00,
seller_000230,CA,Los Angeles,West,07226,long_tail,0.759,0.3508,True,2024-01-01T00:00:00,
seller_000231,OH,Cleveland,Midwest,45140,long_tail,0.7945,0.2636,True,2024-01-01T00:00:00,
seller_000232,PA,Pittsburgh,Northeast,76271,long_tail,0.7213,0.4227,True,2024-01-01T00:00:00,
seller_000233,NV,Reno,West,03587,long_tail,0.8726,0.3845,True,2024-01-01T00:00:00,
seller_000234,NH,Concord,Northeast,05276,long_tail,0.8673,0.3039,True,2024-01-01T00:00:00,
seller_000235,TX,Austin,South,62159,long_tail,0.8133,0.4586,True,2024-01-01T00:00:00,
seller_000236,PA,Pittsburgh,Northeast,42580,long_tail,0.9396,0.3724,True,2024-01-01T00:00:00,
seller_000237,GA,Atlanta,South,86402,premium,0.5754,0.2119,True,2024-01-01T00:00:00,
seller_000238,IL,Chicago,Midwest,41892,long_tail,0.7032,0.4683,True,2024-01-01T00:00:00,
seller_000239,IN,Indianapolis,Midwest,49009,premium,0.6291,0.3526,True,2024-01-01T00:00:00,
seller_000240,AZ,Tucson,West,53522,premium,0.8982,0.3708,True,2024-01-01T00:00:00,
seller_000241,NJ,Newark,Northeast,37094,premium,0.841,0.3301,True,2024-01-01T00:00:00,
seller_000242,IL,Springfield,Midwest,09878,long_tail,0.7047,0.2,True,2024-01-01T00:00:00,
seller_000243,PA,Pittsburgh,Northeast,91963,long_tail,0.9505,0.2137,True,2024-01-01T00:00:00,
seller_000244,NJ,Jersey City,Northeast,45192,long_tail,0.671,0.5406,True,2024-01-01T00:00:00,
seller_000245,OK,Tulsa,South,47268,long_tail,0.8909,0.2443,True,2024-01-01T00:00:00,
seller_000246,MN,Minneapolis,Midwest,71652,premium,0.6888,0.2,True,2024-01-01T00:00:00,
seller_000247,TX,Austin,South,32884,long_tail,0.6532,0.2,True,2024-01-01T00:00:00,
seller_000248,WA,Seattle,West,28883,premium,0.5506,0.3206,True,2024-01-01T00:00:00,
seller_000249,OH,Columbus,Midwest,16419,long_tail,0.45,0.4272,True,2024-01-01T00:00:00,
seller_000250,ND,Bismarck,Midwest,31020,long_tail,0.7311,0.4242,True,2024-01-01T00:00:00,
seller_000251,OH,Columbus,Midwest,23574,long_tail,0.5289,0.3037,True,2024-01-01T00:00:00,
seller_000252,IA,Cedar Rapids,Midwest,70212,growth_seller,0.7108,0.5263,True,2024-01-01T00:00:00,
seller_000253,NJ,Jersey City,Northeast,12637,long_tail,0.7447,0.4209,True,2024-01-01T00:00:00,
seller_000254,NC,Charlotte,South,36721,long_tail,0.7475,0.2,True,2024-01-01T00:00:00,
seller_000255,LA,New Orleans,South,85909,high_volume,0.9779,0.5792,True,2024-01-01T00:00:00,
seller_000256,SC,Charleston,South,40162,premium,0.6953,0.3879,True,2024-01-01T00:00:00,
seller_000257,SC,Columbia,South,89559,premium,0.9756,0.2667,True,2024-01-01T00:00:00,
seller_000258,AK,Anchorage,West,37195,premium,0.8833,0.274,True,2024-01-01T00:00:00,
seller_000259,OK,Oklahoma City,South,25385,long_tail,0.5829,0.5298,True,2024-01-01T00:00:00,
seller_000260,FL,Jacksonville,South,86322,at_risk,0.5601,0.4449,True,2024-01-01T00:00:00,
seller_000261,CA,Sacramento,West,06019,premium,0.5736,0.2,True,2024-01-01T00:00:00,
seller_000262,IL,Springfield,Midwest,89126,premium,0.8758,0.261,True,2024-01-01T00:00:00,
seller_000263,RI,Providence,Northeast,78085,long_tail,0.9155,0.4191,True,2024-01-01T00:00:00,
seller_000264,TX,Houston,South,39969,long_tail,0.9244,0.2747,True,2024-01-01T00:00:00,
seller_000265,WA,Seattle,West,53540,long_tail,0.8069,0.2504,True,2024-01-01T00:00:00,
seller_000266,GA,Atlanta,South,63748,growth_seller,0.7445,0.4176,True,2024-01-01T00:00:00,
seller_000267,FL,Orlando,South,96258,growth_seller,0.6969,0.3062,True,2024-01-01T00:00:00,
seller_000268,DC,Washington,South,85123,at_risk,0.7585,0.3939,True,2024-01-01T00:00:00,
seller_000269,FL,Tampa,South,85457,high_volume,0.9411,0.5115,True,2024-01-01T00:00:00,
