order_id,seller_state,customer_state,seller_region,customer_region,shipping_distance_band,shipping_zone,estimated_delivery_days,actual_delivery_days,delivery_delay_days,late_delivery_flag,shipping_cost_usd,scenario_name
order_0000021,PA,TX,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,8.05,baseline
order_0000022,GA,CA,South,West,cross_region,zone_3,8,7.0,0.0,False,37.07,baseline
order_0000023,PA,IL,Northeast,Midwest,cross_region,zone_3,8,8.0,0.0,False,33.94,baseline
order_0000024,CA,CA,West,West,same_state,zone_1,5,4.0,0.0,False,12.49,baseline
order_0000025,TX,AZ,South,West,cross_region,zone_3,9,14.0,5.0,True,43.9,baseline
order_0000026,FL,CA,South,West,cross_region,zone_3,10,9.0,0.0,False,27.91,baseline
order_0000027,CA,OR,West,West,same_region,zone_2,7,6.0,0.0,False,15.16,baseline
order_0000028,OR,TX,West,South,cross_region,zone_3,9,9.0,0.0,False,34.54,baseline
order_0000029,MS,MI,South,Midwest,cross_region,zone_3,8,7.0,0.0,False,17.1,baseline
order_0000030,FL,KY,South,South,same_region,zone_2,7,,,False,4.88,baseline
order_0000031,NJ,AK,Northeast,West,remote,zone_4,12,13.0,1.0,True,39.82,baseline
order_0000032,CA,SD,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,8.14,baseline
order_0000033,NY,CA,Northeast,West,cross_region,zone_3,9,9.0,0.0,False,8.1,baseline
order_0000034,WV,HI,South,West,remote,zone_4,12,12.0,0.0,False,69.07,baseline
order_0000035,CT,SD,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,24.28,baseline
order_0000036,TX,CA,South,West,cross_region,zone_3,10,9.0,0.0,False,9.36,baseline
order_0000037,NV,OH,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,53.01,baseline
order_0000038,ME,NC,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,25.2,baseline
order_0000039,NY,FL,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,8.29,baseline
order_0000040,OH,IL,Midwest,Midwest,same_region,zone_2,7,7.0,0.0,False,6.58,baseline
order_0000041,SD,IL,Midwest,Midwest,same_region,zone_2,7,7.0,0.0,False,5.61,baseline
order_0000042,NY,OR,Northeast,West,cross_region,zone_3,10,15.0,5.0,True,18.73,baseline
order_0000043,NY,MT,Northeast,West,cross_region,zone_3,9,9.0,0.0,False,19.08,baseline
order_0000044,NJ,MI,Northeast,Midwest,cross_region,zone_3,9,8.0,0.0,False,7.69,baseline
order_0000045,MA,WV,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,9.04,baseline
order_0000046,HI,TX,West,South,remote,zone_4,11,10.0,0.0,False,45.05,baseline
order_0000047,NJ,ND,Northeast,Midwest,cross_region,zone_3,9,,,False,8.7,baseline
order_0000048,NH,GA,Northeast,South,cross_region,zone_3,10,10.0,0.0,False,8.34,baseline
order_0000049,CA,OH,West,Midwest,cross_region,zone_3,10,9.0,0.0,False,9.41,baseline
order_0000050,TX,NY,South,Northeast,cross_region,zone_3,9,8.0,0.0,False,7.91,baseline
order_0000051,NH,CO,Northeast,West,cross_region,zone_3,10,10.0,0.0,False,7.74,baseline
order_0000052,KY,PA,South,Northeast,cross_region,zone_3,10,10.0,0.0,False,26.57,baseline
order_0000053,LA,GA,South,South,same_region,zone_2,8,,,False,6.67,baseline
order_0000054,NJ,MI,Northeast,Midwest,cross_region,zone_3,9,11.0,2.0,True,16.37,baseline
order_0000055,MO,IL,Midwest,Midwest,same_region,zone_2,7,8.0,1.0,True,12.86,baseline
order_0000056,FL,CA,South,West,cross_region,zone_3,9,9.0,0.0,False,16.82,baseline
order_0000057,IN,DE,Midwest,South,cross_region,zone_3,9,10.0,1.0,True,29.77,baseline
order_0000058,TX,MI,South,Midwest,cross_region,zone_3,9,11.0,2.0,True,33.88,baseline
order_0000059,CA,CT,West,Northeast,cross_region,zone_3,9,10.0,1.0,True,19.77,baseline
order_0000060,OH,PA,Midwest,Northeast,cross_region,zone_3,9,8.0,0.0,False,8.14,baseline
order_0000061,DC,MS,South,South,same_region,zone_2,7,7.0,0.0,False,6.41,baseline
order_0000062,NJ,NC,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,8.23,baseline
order_0000063,CA,FL,West,South,cross_region,zone_3,9,9.0,0.0,False,7.95,baseline
order_0000064,TX,NC,South,South,same_region,zone_2,7,6.0,0.0,False,6.77,baseline
order_0000065,TX,AZ,South,West,cross_region,zone_3,9,,,False,17.0,baseline
order_0000066,WA,AL,West,South,cross_region,zone_3,8,8.0,0.0,False,9.9,baseline
order_0000067,OH,PA,Midwest,Northeast,cross_region,zone_3,10,9.0,0.0,False,20.37,baseline
order_0000068,MO,OK,Midwest,South,cross_region,zone_3,9,8.0,0.0,False,8.64,baseline
order_0000069,CA,NY,West,Northeast,cross_region,zone_3,9,9.0,0.0,False,16.39,baseline
order_0000070,SC,FL,South,South,same_region,zone_2,7,7.0,0.0,False,8.08,baseline
order_0000071,CA,FL,West,South,cross_region,zone_3,10,10.0,0.0,False,9.13,baseline
order_0000072,IL,FL,Midwest,South,cross_region,zone_3,9,8.0,0.0,False,9.3,baseline
order_0000073,NY,FL,Northeast,South,cross_region,zone_3,8,7.0,0.0,False,8.29,baseline
order_0000074,OH,TX,Midwest,South,cross_region,zone_3,9,9.0,0.0,False,7.94,baseline
order_0000075,HI,NY,West,Northeast,remote,zone_4,12,11.0,0.0,False,22.42,baseline
order_0000076,WV,NY,South,Northeast,cross_region,zone_3,9,9.0,0.0,False,9.2,baseline
order_0000077,ID,ND,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,35.68,baseline
order_0000078,NV,CA,West,West,same_region,zone_2,6,8.0,2.0,True,12.98,baseline
order_0000079,CA,OK,West,South,cross_region,zone_3,10,12.0,2.0,True,21.25,baseline
order_0000080,NV,MN,West,Midwest,cross_region,zone_3,10,10.0,0.0,False,26.01,baseline
order_0000081,CA,NY,West,Northeast,cross_region,zone_3,9,8.0,0.0,False,17.18,baseline
order_0000082,DE,IL,South,Midwest,cross_region,zone_3,9,9.0,0.0,False,28.53,baseline
order_0000083,WA,PA,West,Northeast,cross_region,zone_3,8,8.0,0.0,False,19.5,baseline
order_0000084,FL,CA,South,West,cross_region,zone_3,9,9.0,0.0,False,11.02,baseline
order_0000085,NY,FL,Northeast,South,cross_region,zone_3,8,8.0,0.0,False,10.65,baseline
order_0000086,TX,CA,South,West,cross_region,zone_3,9,8.0,0.0,False,9.97,baseline
order_0000087,TX,OR,South,West,cross_region,zone_3,9,9.0,0.0,False,41.48,baseline
order_0000088,CO,NV,West,West,same_region,zone_2,7,6.0,0.0,False,11.63,baseline
order_0000089,KY,WA,South,West,cross_region,zone_3,9,9.0,0.0,False,15.99,baseline
order_0000090,KY,CA,South,West,cross_region,zone_3,10,10.0,0.0,False,8.38,baseline
order_0000091,VA,TN,South,South,same_region,zone_2,7,6.0,0.0,False,5.24,baseline
order_0000092,WA,NY,West,Northeast,cross_region,zone_3,8,8.0,0.0,False,16.82,baseline
order_0000093,FL,FL,South,South,same_state,zone_1,5,4.0,0.0,False,3.76,baseline
order_0000094,MD,NC,South,South,same_region,zone_2,8,8.0,0.0,False,7.94,baseline
order_0000095,MD,TX,South,South,same_region,zone_2,7,7.0,0.0,False,5.76,baseline
order_0000096,MN,PA,Midwest,Northeast,cross_region,zone_3,9,11.0,2.0,True,7.81,baseline
order_0000097,TX,FL,South,South,same_region,zone_2,7,7.0,0.0,False,12.84,baseline
order_0000098,IL,CA,Midwest,West,cross_region,zone_3,9,9.0,0.0,False,14.97,baseline
order_0000099,HI,NE,West,Midwest,remote,zone_4,12,13.0,1.0,True,18.56,baseline
order_0000100,WI,TX,Midwest,South,cross_region,zone_3,10,10.0,0.0,False,9.55,baseline
order_0000101,GA,FL,South,South,same_region,zone_2,7,7.0,0.0,False,5.39,baseline
order_0000102,IL,WA,Midwest,West,cross_region,zone_3,9,9.0,0.0,False,48.93,baseline
order_0000103,NY,NM,Northeast,West,cross_region,zone_3,10,9.0,0.0,False,19.36,baseline
order_0000104,NM,CA,West,West,same_region,zone_2,7,6.0,0.0,False,10.36,baseline
order_0000105,OR,MI,West,Midwest,cross_region,zone_3,9,10.0,1.0,True,25.61,baseline
order_0000106,OR,NY,West,Northeast,cross_region,zone_3,10,,,False,19.51,baseline
order_0000107,CA,SD,West,Midwest,cross_region,zone_3,9,13.0,4.0,True,15.23,baseline
order_0000108,IL,TX,Midwest,South,cross_region,zone_3,10,12.0,2.0,True,19.12,baseline
order_0000109,LA,NC,South,South,same_region,zone_2,8,8.0,0.0,False,7.92,baseline
order_0000110,TX,FL,South,South,same_region,zone_2,7,7.0,0.0,False,5.93,baseline
order_0000111,MI,GA,Midwest,South,cross_region,zone_3,8,8.0,0.0,False,21.77,baseline
order_0000112,FL,MN,South,Midwest,cross_region,zone_3,9,9.0,0.0,False,18.31,baseline
order_0000113,WV,DC,South,South,same_region,zone_2,7,6.0,0.0,False,5.35,baseline
order_0000114,HI,OH,West,Midwest,remote,zone_4,11,11.0,0.0,False,12.75,baseline
order_0000115,PA,NC,Northeast,South,cross_region,zone_3,9,8.0,0.0,False,15.56,baseline
order_0000116,CA,RI,West,Northeast,cross_region,zone_3,9,8.0,0.0,False,43.32,baseline
order_0000117,TX,KS,South,Midwest,cross_region,zone_3,9,9.0,0.0,False,9.32,baseline
order_0000118,CA,CA,West,West,same_state,zone_1,5,5.0,0.0,False,4.07,baseline
order_0000119,HI,FL,West,South,remote,zone_4,11,16.0,5.0,True,53.32,baseline
order_0000120,NY,VA,Northeast,South,cross_region,zone_3,9,8.0,0.0,False,8.98,baseline
order_0000121,FL,FL,South,South,same_state,zone_1,5,4.0,0.0,False,20.48,baseline
order_0000122,CA,MI,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,11.19,baseline
order_0000123,PA,NC,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,10.16,baseline
order_0000124,WA,NE,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,9.0,baseline
order_0000125,FL,UT,South,West,cross_region,zone_3,9,8.0,0.0,False,8.13,baseline
order_0000126,AR,NC,South,South,same_region,zone_2,7,7.0,0.0,False,6.62,baseline
order_0000127,FL,IL,South,Midwest,cross_region,zone_3,9,9.0,0.0,False,7.62,baseline
order_0000128,NC,CA,South,West,cross_region,zone_3,9,11.0,2.0,True,19.67,baseline
order_0000129,HI,FL,West,South,remote,zone_4,12,12.0,0.0,False,14.3,baseline
order_0000130,OH,RI,Midwest,Northeast,cross_region,zone_3,9,9.0,0.0,False,44.34,baseline
order_0000131,TN,TX,South,South,same_region,zone_2,7,7.0,0.0,False,6.74,baseline
order_0000132,IN,CA,Midwest,West,cross_region,zone_3,9,8.0,0.0,False,16.86,baseline
order_0000133,FL,FL,South,South,same_state,zone_1,5,4.0,0.0,False,17.79,baseline
order_0000134,TN,VT,South,Northeast,cross_region,zone_3,9,9.0,0.0,False,16.45,baseline
order_0000135,CA,CT,West,Northeast,cross_region,zone_3,10,10.0,0.0,False,17.29,baseline
order_0000136,PA,RI,Northeast,Northeast,same_region,zone_2,8,8.0,0.0,False,11.46,baseline
order_0000137,NJ,OH,Northeast,Midwest,cross_region,zone_3,9,8.0,0.0,False,8.72,baseline
order_0000138,AL,DE,South,South,same_region,zone_2,7,7.0,0.0,False,16.63,baseline
order_0000139,LA,PA,South,Northeast,cross_region,zone_3,8,8.0,0.0,False,8.4,baseline
order_0000140,NC,SC,South,South,same_region,zone_2,7,7.0,0.0,False,14.14,baseline
order_0000141,NJ,SD,Northeast,Midwest,cross_region,zone_3,10,10.0,0.0,False,9.24,baseline
order_0000142,FL,MI,South,Midwest,cross_region,zone_3,10,10.0,0.0,False,8.78,baseline
order_0000143,TX,NV,South,West,cross_region,zone_3,9,9.0,0.0,False,8.21,baseline
order_0000144,WA,MI,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,44.74,baseline
order_0000145,FL,NH,South,Northeast,cross_region,zone_3,9,8.0,0.0,False,7.97,baseline
order_0000146,IL,OK,Midwest,South,cross_region,zone_3,8,12.0,4.0,True,11.52,baseline
order_0000147,MA,OH,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,8.15,baseline
order_0000148,NJ,DC,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,7.83,baseline
order_0000149,TX,NY,South,Northeast,cross_region,zone_3,9,9.0,0.0,False,16.27,baseline
order_0000150,GA,CA,South,West,cross_region,zone_3,10,10.0,0.0,False,8.64,baseline
order_0000151,CA,CA,West,West,same_state,zone_1,6,,,False,16.4,baseline
order_0000152,PA,CA,Northeast,West,cross_region,zone_3,9,,,False,7.92,baseline
order_0000153,OR,CA,West,West,same_region,zone_2,8,7.0,0.0,False,12.15,baseline
order_0000154,AL,AR,South,South,same_region,zone_2,7,6.0,0.0,False,11.22,baseline
order_0000155,TX,NH,South,Northeast,cross_region,zone_3,10,10.0,0.0,False,23.39,baseline
order_0000156,PA,TX,Northeast,South,cross_region,zone_3,10,14.0,4.0,True,8.91,baseline
order_0000157,OR,AK,West,West,same_region,zone_2,7,7.0,0.0,False,31.12,baseline
order_0000158,AL,NH,South,Northeast,cross_region,zone_3,10,10.0,0.0,False,9.19,baseline
order_0000159,PA,MI,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,8.29,baseline
order_0000160,IL,IL,Midwest,Midwest,same_state,zone_1,6,6.0,0.0,False,4.42,baseline
order_0000161,ID,NH,West,Northeast,cross_region,zone_3,9,,,False,8.35,baseline
order_0000162,TN,GA,South,South,same_region,zone_2,7,6.0,0.0,False,13.61,baseline
order_0000163,NJ,KY,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,8.82,baseline
order_0000164,IL,WY,Midwest,West,cross_region,zone_3,8,8.0,0.0,False,8.08,baseline
order_0000165,CA,TX,West,South,cross_region,zone_3,9,9.0,0.0,False,17.04,baseline
order_0000166,NJ,OH,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,25.29,baseline
order_0000167,CA,SC,West,South,cross_region,zone_3,9,9.0,0.0,False,17.42,baseline
order_0000168,MA,OH,Northeast,Midwest,cross_region,zone_3,9,11.0,2.0,True,15.17,baseline
order_0000169,TN,CA,South,West,cross_region,zone_3,9,9.0,0.0,False,8.96,baseline
order_0000170,WV,AZ,South,West,cross_region,zone_3,9,9.0,0.0,False,18.32,baseline
order_0000171,CA,UT,West,West,same_region,zone_2,7,7.0,0.0,False,14.24,baseline
order_0000172,AR,MS,South,South,same_region,zone_2,7,7.0,0.0,False,6.22,baseline
order_0000173,AK,MN,West,Midwest,remote,zone_4,12,11.0,0.0,False,15.71,baseline
order_0000174,NV,MI,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,15.96,baseline
order_0000175,CA,CO,West,West,same_region,zone_2,7,7.0,0.0,False,7.36,baseline
order_0000176,SD,NV,Midwest,West,cross_region,zone_3,10,10.0,0.0,False,8.54,baseline
order_0000177,TX,IL,South,Midwest,cross_region,zone_3,9,11.0,2.0,True,19.33,baseline
order_0000178,SC,TX,South,South,same_region,zone_2,7,,,False,7.95,baseline
order_0000179,IL,TX,Midwest,South,cross_region,zone_3,8,8.0,0.0,False,8.37,baseline
order_0000180,FL,LA,South,South,same_region,zone_2,7,7.0,0.0,False,6.29,baseline
order_0000181,SC,IN,South,Midwest,cross_region,zone_3,8,8.0,0.0,False,9.66,baseline
order_0000182,KS,MS,Midwest,South,cross_region,zone_3,9,13.0,4.0,True,9.08,baseline
order_0000183,SC,NC,South,South,same_region,zone_2,7,7.0,0.0,False,5.05,baseline
order_0000184,MO,AK,Midwest,West,remote,zone_4,12,12.0,0.0,False,46.86,baseline
order_0000185,OR,IL,West,Midwest,cross_region,zone_3,9,8.0,0.0,False,19.14,baseline
order_0000186,NJ,NH,Northeast,Northeast,same_region,zone_2,6,8.0,2.0,True,17.3,baseline
order_0000187,IL,SC,Midwest,South,cross_region,zone_3,8,8.0,0.0,False,10.92,baseline
order_0000188,FL,GA,South,South,same_region,zone_2,6,6.0,0.0,False,17.0,baseline
order_0000189,MS,CA,South,West,cross_region,zone_3,8,8.0,0.0,False,37.11,baseline
order_0000190,CA,DE,West,South,cross_region,zone_3,9,9.0,0.0,False,15.11,baseline
order_0000191,FL,CO,South,West,cross_region,zone_3,9,9.0,0.0,False,8.8,baseline
order_0000192,WA,TX,West,South,cross_region,zone_3,9,9.0,0.0,False,32.26,baseline
order_0000193,AZ,NJ,West,Northeast,cross_region,zone_3,9,9.0,0.0,False,16.5,baseline
order_0000194,HI,IL,West,Midwest,remote,zone_4,11,10.0,0.0,False,42.62,baseline
order_0000195,GA,CA,South,West,cross_region,zone_3,9,8.0,0.0,False,9.77,baseline
order_0000196,IL,NY,Midwest,Northeast,cross_region,zone_3,10,10.0,0.0,False,16.84,baseline
order_0000197,NY,WY,Northeast,West,cross_region,zone_3,9,9.0,0.0,False,8.13,baseline
order_0000198,IL,AL,Midwest,South,cross_region,zone_3,10,10.0,0.0,False,26.8,baseline
order_0000199,TX,FL,South,South,same_region,zone_2,7,7.0,0.0,False,10.39,baseline
order_0000200,FL,TN,South,South,same_region,zone_2,7,6.0,0.0,False,7.87,baseline
order_0000201,IL,GA,Midwest,South,cross_region,zone_3,9,,,False,8.11,baseline
order_0000202,FL,CA,South,West,cross_region,zone_3,9,,,False,13.35,baseline
order_0000203,FL,IL,South,Midwest,cross_region,zone_3,8,12.0,4.0,True,8.65,baseline
order_0000204,MO,TX,Midwest,South,cross_region,zone_3,9,9.0,0.0,False,7.46,baseline
order_0000205,NY,KY,Northeast,South,cross_region,zone_3,9,9.0,0.0,False,56.98,baseline
order_0000206,CA,FL,West,South,cross_region,zone_3,8,8.0,0.0,False,7.95,baseline
order_0000207,WA,IL,West,Midwest,cross_region,zone_3,9,14.0,5.0,True,16.12,baseline
order_0000208,MA,VA,Northeast,South,cross_region,zone_3,9,,,False,8.15,baseline
order_0000209,NJ,NE,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,15.76,baseline
order_0000210,NM,HI,West,West,same_region,zone_2,7,7.0,0.0,False,29.15,baseline
order_0000211,AR,GA,South,South,same_region,zone_2,7,8.0,1.0,True,6.56,baseline
order_0000212,NY,DE,Northeast,South,cross_region,zone_3,9,8.0,0.0,False,9.1,baseline
order_0000213,CA,UT,West,West,same_region,zone_2,7,7.0,0.0,False,7.34,baseline
order_0000214,ID,OH,West,Midwest,cross_region,zone_3,10,10.0,0.0,False,40.87,baseline
order_0000215,HI,CA,West,West,same_region,zone_2,6,6.0,0.0,False,5.14,baseline
order_0000216,MI,TX,Midwest,South,cross_region,zone_3,9,8.0,0.0,False,8.25,baseline
order_0000217,MA,CT,Northeast,Northeast,same_region,zone_2,7,7.0,0.0,False,39.38,baseline
order_0000218,OR,NY,West,Northeast,cross_region,zone_3,9,,,False,17.05,baseline
order_0000219,WA,TX,West,South,cross_region,zone_3,10,,,False,19.8,baseline
order_0000220,CA,MO,West,Midwest,cross_region,zone_3,9,9.0,0.0,False,7.43,baseline
order_0000221,HI,ND,West,Midwest,remote,zone_4,13,,,False,40.99,baseline
order_0000222,TX,NC,South,South,same_region,zone_2,7,7.0,0.0,False,4.91,baseline
order_0000223,AL,AZ,South,West,cross_region,zone_3,9,9.0,0.0,False,16.46,baseline
order_0000224,CA,CA,West,West,same_state,zone_1,4,4.0,0.0,False,25.67,baseline
order_0000225,KY,DE,South,South,same_region,zone_2,8,7.0,0.0,False,5.98,baseline
order_0000226,FL,OH,South,Midwest,cross_region,zone_3,9,9.0,0.0,False,44.51,baseline
order_0000227,GA,IL,South,Midwest,cross_region,zone_3,10,10.0,0.0,False,21.1,baseline
order_0000228,MS,TN,South,South,same_region,zone_2,7,7.0,0.0,False,11.97,baseline
order_0000229,IN,VT,Midwest,Northeast,cross_region,zone_3,9,8.0,0.0,False,7.95,baseline
order_0000230,HI,FL,West,South,remote,zone_4,12,12.0,0.0,False,14.37,baseline
order_0000231,OR,CA,West,West,same_region,zone_2,7,7.0,0.0,False,12.33,baseline
order_0000232,MA,WI,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,16.7,baseline
order_0000233,MS,FL,South,South,same_region,zone_2,8,8.0,0.0,False,12.38,baseline
order_0000234,PA,CA,Northeast,West,cross_region,zone_3,8,8.0,0.0,False,8.36,baseline
order_0000235,NJ,HI,Northeast,West,remote,zone_4,12,16.0,4.0,True,40.54,baseline
order_0000236,IL,HI,Midwest,West,remote,zone_4,12,12.0,0.0,False,25.53,baseline
order_0000237,IL,AR,Midwest,South,cross_region,zone_3,10,10.0,0.0,False,27.87,baseline
order_0000238,OH,CA,Midwest,West,cross_region,zone_3,9,8.0,0.0,False,25.97,baseline
order_0000239,SC,AL,South,South,same_region,zone_2,7,7.0,0.0,False,20.11,baseline
order_0000240,FL,AL,South,South,same_region,zone_2,7,6.0,0.0,False,4.87,baseline
order_0000241,KY,TX,South,South,same_region,zone_2,7,7.0,0.0,False,11.16,baseline
order_0000242,FL,KY,South,South,same_region,zone_2,7,6.0,0.0,False,13.73,baseline
order_0000243,NJ,FL,Northeast,South,cross_region,zone_3,10,10.0,0.0,False,16.68,baseline
order_0000244,CA,CA,West,West,same_state,zone_1,6,6.0,0.0,False,16.91,baseline
order_0000245,HI,FL,West,South,remote,zone_4,11,11.0,0.0,False,13.19,baseline
order_0000246,HI,OH,West,Midwest,remote,zone_4,11,,,False,44.99,baseline
order_0000247,HI,OH,West,Midwest,remote,zone_4,12,,,False,26.54,baseline
order_0000248,TX,GA,South,South,same_region,zone_2,7,10.0,3.0,True,5.43,baseline
order_0000249,OH,FL,Midwest,South,cross_region,zone_3,9,8.0,0.0,False,23.3,baseline
order_0000250,IL,CA,Midwest,West,cross_region,zone_3,8,8.0,0.0,False,24.11,baseline
order_0000251,FL,FL,South,South,same_state,zone_1,6,6.0,0.0,False,7.74,baseline
order_0000252,OK,PA,South,Northeast,cross_region,zone_3,9,9.0,0.0,False,8.4,baseline
order_0000253,TX,OH,South,Midwest,cross_region,zone_3,10,10.0,0.0,False,16.4,baseline
order_0000254,OK,NY,South,Northeast,cross_region,zone_3,9,9.0,0.0,False,25.68,baseline
order_0000255,GA,FL,South,South,same_region,zone_2,7,7.0,0.0,False,12.02,baseline
order_0000256,NV,FL,West,South,cross_region,zone_3,9,9.0,0.0,False,7.27,baseline
order_0000257,PA,ID,Northeast,West,cross_region,zone_3,9,,,False,10.28,baseline
order_0000258,MA,UT,Northeast,West,cross_region,zone_3,9,9.0,0.0,False,10.66,baseline
order_0000259,OH,OH,Midwest,Midwest,same_state,zone_1,5,5.0,0.0,False,6.42,baseline
order_0000260,FL,CA,South,West,cross_region,zone_3,9,9.0,0.0,False,7.51,baseline
order_0000261,NV,OH,West,Midwest,cross_region,zone_3,8,8.0,0.0,False,19.68,baseline
order_0000262,NY,NC,Northeast,South,cross_region,zone_3,8,8.0,0.0,False,7.73,baseline
order_0000263,TX,FL,South,South,same_region,zone_2,8,8.0,0.0,False,17.46,baseline
order_0000264,TX,AK,South,West,remote,zone_4,12,,,False,13.11,baseline
order_0000265,OH,NY,Midwest,Northeast,cross_region,zone_3,9,9.0,0.0,False,9.34,baseline
order_0000266,NV,MT,West,West,same_region,zone_2,6,6.0,0.0,False,5.19,baseline
order_0000267,NH,CA,Northeast,West,cross_region,zone_3,10,9.0,0.0,False,9.36,baseline
order_0000268,IL,TX,Midwest,South,cross_region,zone_3,9,9.0,0.0,False,8.6,baseline
order_0000269,TN,TX,South,South,same_region,zone_2,7,6.0,0.0,False,5.09,baseline
order_0000270,WI,NV,Midwest,West,cross_region,zone_3,9,9.0,0.0,False,15.55,baseline
order_0000271,PA,TX,Northeast,South,cross_region,zone_3,9,8.0,0.0,False,7.61,baseline
order_0000272,NJ,OH,Northeast,Midwest,cross_region,zone_3,9,8.0,0.0,False,8.03,baseline
order_0000273,IL,CA,Midwest,West,cross_region,zone_3,10,10.0,0.0,False,10.18,baseline
order_0000274,OH,FL,Midwest,South,cross_region,zone_3,9,8.0,0.0,False,14.22,baseline
order_0000275,HI,NJ,West,Northeast,remote,zone_4,11,12.0,1.0,True,14.02,baseline
order_0000276,ND,NY,Midwest,Northeast,cross_region,zone_3,9,9.0,0.0,False,15.69,baseline
order_0000277,FL,CA,South,West,cross_region,zone_3,9,13.0,4.0,True,8.82,baseline
order_0000278,GA,UT,South,West,cross_region,zone_3,9,9.0,0.0,False,8.94,baseline
order_0000279,OR,NC,West,South,cross_region,zone_3,9,10.0,1.0,True,31.5,baseline
order_0000280,MO,CA,Midwest,West,cross_region,zone_3,9,9.0,0.0,False,19.18,baseline
order_0000281,CA,MS,West,South,cross_region,zone_3,9,9.0,0.0,False,8.07,baseline
order_0000282,CA,RI,West,Northeast,cross_region,zone_3,9,9.0,0.0,False,7.4,baseline
order_0000283,FL,MI,South,Midwest,cross_region,zone_3,8,8.0,0.0,False,8.31,baseline
order_0000284,WA,AK,West,West,same_region,zone_2,7,,,False,13.04,baseline
order_0000285,HI,AL,West,South,remote,zone_4,12,12.0,0.0,False,12.76,baseline
order_0000286,KY,GA,South,South,same_region,zone_2,7,6.0,0.0,False,5.99,baseline
order_0000287,PA,CA,Northeast,West,cross_region,zone_3,9,9.0,0.0,False,30.54,baseline
order_0000288,WY,KY,West,South,cross_region,zone_3,10,,,False,9.2,baseline
order_0000289,NY,NY,Northeast,Northeast,same_state,zone_1,5,5.0,0.0,False,19.56,baseline
order_0000290,CA,FL,West,South,cross_region,zone_3,9,8.0,0.0,False,18.23,baseline
order_0000291,WA,MO,West,Midwest,cross_region,zone_3,8,8.0,0.0,False,8.18,baseline
order_0000292,TX,TX,South,South,same_state,zone_1,5,5.0,0.0,False,4.84,baseline
