table_name,column_name,data_type,description,example_value,nullable
orders,order_day_of_week,integer,Purchase weekday where Monday is 0.,2,False
orders,is_weekend,boolean,Whether purchase occurred on a weekend.,False,False
orders,is_holiday_period,boolean,Whether purchase occurred in holiday season.,False,False
orders,is_promotion_period,boolean,Whether purchase occurred in a promotion window.,False,False
orders,scenario_name,string,Scenario used for this order.,baseline,False
order_items,order_id,string,Parent order identifier.,order_0000001,False
order_items,order_item_id,integer,One-based item sequence within order.,1,False
order_items,seller_product_id,string,Purchased seller listing identifier.,seller_product_0004917,False
order_items,product_id,string,Purchased product identifier.,product_002805,False
order_items,seller_id,string,Seller fulfilling the order.,seller_000050,False
order_items,item_price_usd,float,Synthetic item price in USD.,288.6,False
order_items,shipping_cost_usd,float,Allocated item shipping cost in USD.,9.49,False
order_items,item_total_usd,float,Item price plus shipping cost in USD.,298.09,False
order_items,scenario_name,string,Scenario used for this item.,baseline,False
payments,order_id,string,Paid order identifier.,order_0000001,False
payments,payment_sequential,integer,One-based payment sequence.,1,False
payments,payment_type,string,Synthetic payment method.,credit_card,False
payments,payment_installments,integer,Installment count.,2,False
payments,payment_value_usd,float,Payment value in USD.,492.91,False
payments,scenario_name,string,Scenario used for this payment.,baseline,False
shipping,order_id,string,Shipped order identifier.,order_0000001,False
shipping,seller_state,string,Origin state.,NY,False
shipping,customer_state,string,Destination state.,PA,False
shipping,seller_region,string,Origin region.,Northeast,False
shipping,customer_region,string,Destination region.,Northeast,False
shipping,shipping_distance_band,string,"Same-state, same-region, cross-region, or remote band.",same_region,False
shipping,shipping_zone,string,Synthetic route zone.,zone_2,False
shipping,estimated_delivery_days,integer,Estimated delivery days.,7,False
shipping,actual_delivery_days,integer,Actual delivery days.,7.0,True
shipping,delivery_delay_days,integer,Days delivered after estimate.,0.0,True
shipping,late_delivery_flag,boolean,Whether delivery missed its estimate.,False,False
shipping,shipping_cost_usd,float,Order shipping cost in USD.,16.46,False
shipping,scenario_name,string,Scenario used for shipping.,baseline,False
reviews,review_id,string,Synthetic review identifier.,review_0000001,False
reviews,order_id,string,Reviewed delivered order.,order_0000002,False
reviews,review_score,integer,Review score from 1 to 5.,5,False
reviews,review_creation_date,date,Review creation date.,2025-09-19 00:00:00,False
reviews,review_answer_timestamp,datetime,Synthetic response timestamp.,2025-09-21 20:00:00,False
reviews,review_sentiment_label,string,"Negative, neutral, or positive sentiment.",positive,False
reviews,satisfaction_risk_flag,boolean,Whether score is 1 or 2.,False,False
reviews,scenario_name,string,Scenario used for the review.,baseline,False
calendar,date,date,Calendar date.,2024-01-01 00:00:00,False
calendar,year,integer,Calendar year.,2024,False
calendar,quarter,integer,Calendar quarter.,1,False
calendar,month,integer,Month number.,1,False
calendar,month_name,string,Month name.,January,False
calendar,week,integer,ISO week.,1,False
calendar,day_of_week,integer,Weekday where Monday is 0.,0,False
calendar,day_name,string,Weekday name.,Monday,False
calendar,is_weekend,boolean,Weekend flag.,False,False
calendar,is_holiday_period,boolean,Holiday-season flag.,False,False
calendar,is_promotion_period,boolean,Promotion-window flag.,False,False
calendar,season,string,Meteorological season.,winter,False
simulation_metadata,simulation_run_id,string,Unique synthetic simulation run identifier.,simulation_run_20260717_155231_baseline_seed42,False
simulation_metadata,dataset_name,string,Configured dataset name.,Synthetic Ecommerce Dataset,False
simulation_metadata,domain,string,Dataset domain.,ecommerce_marketplace,False
simulation_metadata,scenario_name,string,Applied scenario.,baseline,False
simulation_metadata,random_seed,integer,Root random seed.,42,False
simulation_metadata,generated_at,datetime,UTC generation timestamp.,2026-07-17 15:52:31+00:00,False
simulation_metadata,start_date,date,Configured period start.,2024-01-01,False
simulation_metadata,end_date,date,Configured period end.,2026-12-31,False
simulation_metadata,requested_number_of_orders,integer,Configured order count before defects.,10000,False
simulation_metadata,number_of_orders,integer,Generated order count.,10000,False
simulation_metadata,number_of_customers,integer,Generated customer count.,20000,False
simulation_metadata,number_of_sellers,integer,Generated seller count.,1200,False
simulation_metadata,number_of_products,integer,Generated product count.,8000,False
simulation_metadata,number_of_seller_products,integer,Generated seller listing count.,13966,False
simulation_metadata,currency,string,Synthetic monetary unit.,USD,False
simulation_metadata,data_quality_mode,string,Whether the output is clean or intentionally dirty.,clean,False
simulation_metadata,disclaimer,string,Synthetic-data usage disclaimer.,"Fully synthetic data for education, analytics practice, portfolio projects, SQL modeling, dashboard development, and machine learning experiments. It contains no real customers, sellers, orders, companies, or performance and must not be used as real market data or for operational decisions.",False
data_dictionary,table_name,string,Dataset table.,,False
data_dictionary,column_name,string,Column in the table.,,False
data_dictionary,data_type,string,Logical data type.,,False
data_dictionary,description,string,Human-readable field definition.,,False
data_dictionary,example_value,string,Example generated value.,,True
data_dictionary,nullable,boolean,Whether blank values are allowed.,,False
